feature,importance,importance_pct
distinct_product_baskets_180d,0.46784726,46.784725
item_count_180d,0.17939244,17.939243
order_count_180d,0.17279023,17.279022
payment_value_180d,0.10988868,10.988868
customer_lifetime_days,0.012674341,1.2674341
orders_per_month_180d,0.009281794,0.9281794
review_count_180d,0.008077551,0.80775505
revenue_per_month_180d,0.004560449,0.4560449
freight_value_180d,0.004255862,0.4255862
revenue_180d,0.004148965,0.4148965
recency_days,0.0038409755,0.38409755
avg_order_value_180d,0.0038170507,0.38170508
avg_installments_180d,0.0037111961,0.37111962
avg_products_per_order_180d,0.003570877,0.3570877
avg_review_score_180d,0.0032284819,0.3228482
avg_delivery_delay_180d,0.0032234213,0.32234213
avg_categories_per_order_180d,0.003149756,0.3149756
avg_payment_type_count_180d,0.0025406897,0.25406897
avg_sellers_per_order_180d,0.0,0.0
late_delivery_rate_180d,0.0,0.0
