order_count_180d,revenue_180d,payment_value_180d,freight_value_180d,item_count_180d,avg_payment_type_count_180d,avg_installments_180d,avg_review_score_180d,review_count_180d,avg_delivery_delay_180d,late_delivery_rate_180d,unique_products_180d,unique_categories_180d,unique_sellers_180d,recency_days,customer_lifetime_days,avg_order_value_180d,orders_per_month_180d,revenue_per_month_180d,actual_churn,predicted_probability,predicted_churn
1,380.0,399.95,19.95,1,1.0,3.0,3.0,1,-43.0,0.0,1,1,1,17,17,380.0,0.16666666666666666,63.333333333333336,1,0.9020495,1
1,699.0,719.86,20.86,1,1.0,7.0,5.0,1,-33.0,0.0,1,1,1,17,17,699.0,0.16666666666666666,116.5,1,0.89910465,1
1,329.99,339.55,9.56,1,1.0,8.0,4.0,1,-34.0,0.0,1,1,1,30,30,329.99,0.16666666666666666,54.998333333333335,1,0.8959431,1
1,598.0,631.8,33.8,2,1.0,6.0,4.0,1,-30.0,0.0,1,1,1,17,17,598.0,0.16666666666666666,99.66666666666667,1,0.88862675,1
1,989.0,1014.61,25.61,1,1.0,15.0,0.0,0,-27.0,0.0,1,1,1,12,12,989.0,0.16666666666666666,164.83333333333334,1,0.8883741,1
1,529.9,555.32,25.42,1,1.0,3.0,2.0,1,-20.0,0.0,1,1,1,16,16,529.9,0.16666666666666666,88.31666666666666,1,0.887047,1
1,10.0,24.1,14.1,1,1.0,2.0,4.0,1,-30.0,0.0,1,1,1,26,26,10.0,0.16666666666666666,1.6666666666666667,1,0.8867409,1
1,435.19,454.95,19.76,1,1.0,2.0,4.0,1,-28.0,0.0,1,1,1,20,20,435.19,0.16666666666666666,72.53166666666667,1,0.88590276,1
1,299.8,323.79,24.0,2,1.0,4.0,4.0,1,-44.0,0.0,1,1,1,22,22,299.8,0.16666666666666666,49.96666666666667,1,0.8821663,1
1,410.0,428.83,18.83,1,1.0,3.0,4.0,1,-29.0,0.0,1,1,1,23,23,410.0,0.16666666666666666,68.33333333333333,1,0.88163733,1
1,13.99,29.22,15.23,1,1.0,2.0,1.0,1,-18.0,0.0,1,1,1,25,25,13.99,0.16666666666666666,2.3316666666666666,1,0.8788939,1
1,18.9,37.13,18.23,1,1.0,1.0,4.0,1,-19.0,0.0,1,1,1,21,21,18.9,0.16666666666666666,3.15,1,0.87804526,1
