feature,mean_abs_shap,importance_pct
order_count_180d,0.7824837,42.383873
payment_value_180d,0.33238503,18.00391
item_count_180d,0.21752964,11.782672
recency_days,0.08709262,4.7174435
avg_review_score_180d,0.07186684,3.8927264
freight_value_180d,0.06538602,3.5416875
avg_order_value_180d,0.054147717,2.9329557
customer_lifetime_days,0.053143006,2.8785346
avg_delivery_delay_180d,0.050292943,2.7241585
avg_installments_180d,0.038432665,2.081737
revenue_180d,0.029456826,1.5955532
unique_products_180d,0.022799537,1.2349557
review_count_180d,0.018373318,0.9952059
revenue_per_month_180d,0.009156292,0.4959581
orders_per_month_180d,0.0059100115,0.32012063
unique_sellers_180d,0.0037990345,0.20577784
avg_payment_type_count_180d,0.0027195178,0.14730492
unique_categories_180d,0.0012077756,0.06542016
late_delivery_rate_180d,0.0,0.0
